# Large weighted undirected graph (100 vertices, 600 edges)
# Format: V A D P
100 600 0 1
0 1 2
0 3 9
0 4 44
0 5 22
0 7 2
0 20 27
0 28 5
0 34 19
0 48 25
0 61 23
0 65 43
0 85 47
0 88 49
1 2 16
1 8 14
1 11 49
1 13 37
1 16 23
1 38 46
1 43 27
1 50 17
1 70 36
1 78 44
2 22 17
2 22 25
2 25 40
2 37 43
2 43 38
2 57 6
2 60 48
3 9 33
3 18 3
3 22 48
3 23 23
3 28 43
3 39 37
3 49 22
3 50 38
3 60 40
3 63 21
3 96 16
4 5 6
4 6 28
4 33 3
4 38 32
4 48 31
4 56 14
4 58 6
4 63 9
4 79 5
4 88 24
5 6 36
5 17 45
5 39 24
5 41 4
5 44 35
5 45 14
5 73 49
5 76 40
5 78 47
6 7 38
6 14 15
6 16 48
6 20 49
6 24 34
6 32 6
6 32 31
6 33 25
6 36 39
6 42 16
6 69 23
6 70 8
6 71 16
6 83 35
6 93 44
6 95 39
6 97 14
7 15 38
7 20 33
7 51 11
7 51 47
7 53 14
7 61 26
7 71 38
7 95 21
7 99 16
8 11 13
8 14 26
8 16 1
8 19 10
8 25 3
8 29 3
8 35 50
8 53 27
8 55 43
8 64 42
8 74 25
8 76 44
8 95 31
8 97 36
9 10 2
9 10 21
9 12 35
9 14 45
9 18 4
9 42 33
9 56 46
9 59 10
9 62 37
9 87 15
9 96 1
9 98 30
10 11 6
10 17 10
10 20 16
10 21 7
10 22 40
10 23 5
10 45 35
10 53 43
10 72 6
10 76 3
10 82 28
10 83 22
10 84 19
11 12 42
11 13 35
11 16 19
11 24 39
11 29 44
11 31 18
11 52 15
11 55 7
11 60 23
11 69 49
12 14 16
12 24 19
12 28 6
12 32 46
12 55 45
12 55 48
12 56 7
12 56 11
12 83 32
12 93 21
13 18 22
13 31 45
13 39 38
13 41 43
13 43 16
13 45 50
13 61 16
13 62 28
13 76 28
13 84 9
13 85 11
13 86 15
13 88 41
13 98 50
14 17 3
14 33 7
14 33 12
14 34 50
14 36 7
14 49 37
14 50 44
14 53 3
14 59 8
14 69 15
14 79 44
14 83 42
14 84 2
14 97 24
14 98 26
14 99 11
15 31 36
15 40 48
15 46 11
15 56 30
15 58 6
15 58 9
15 62 2
15 63 48
15 68 30
15 76 37
15 84 47
15 92 13
16 35 40
16 44 5
16 62 9
16 68 18
16 70 13
16 72 14
16 79 35
16 85 42
16 92 37
16 98 41
17 27 8
17 29 19
17 42 45
17 48 41
17 59 12
17 68 25
17 80 7
18 29 30
18 31 42
18 35 6
18 35 9
18 55 9
18 55 16
18 76 1
18 77 5
18 92 27
19 30 9
19 31 24
19 57 35
19 62 13
19 69 3
19 71 41
19 82 18
19 82 32
19 83 5
19 90 14
19 90 28
19 93 27
19 95 16
20 22 27
20 33 48
20 51 50
20 56 35
20 58 14
20 69 5
20 72 44
20 84 30
20 89 7
20 90 20
20 93 35
21 30 27
21 33 34
21 39 39
21 47 39
21 92 30
22 25 9
22 70 5
22 87 33
22 93 34
22 96 31
23 24 14
23 26 30
23 35 38
23 39 11
23 40 23
23 54 18
23 62 14
23 87 11
24 32 3
24 37 18
24 49 39
24 51 22
24 66 6
24 79 17
24 89 16
24 91 45
25 28 30
25 38 25
25 55 18
25 60 42
25 84 28
25 85 24
25 88 46
25 91 5
25 91 10
26 30 41
26 75 14
26 87 41
26 91 22
26 97 41
27 33 43
27 37 4
27 41 30
27 55 29
27 56 29
27 62 35
27 64 17
27 72 30
27 84 42
27 86 33
28 31 5
28 37 26
28 39 13
28 45 41
28 54 12
28 62 15
28 67 9
28 82 5
28 83 5
28 96 44
29 36 46
29 36 48
29 38 41
29 42 50
29 46 12
29 47 25
29 49 45
29 52 22
29 61 10
29 70 38
29 99 39
30 33 26
30 35 43
30 36 18
30 46 7
30 51 8
30 63 38
30 75 21
30 80 18
30 80 44
30 88 31
30 92 27
30 96 44
31 47 19
31 57 49
31 59 5
31 60 40
31 72 38
31 87 43
31 88 20
31 94 18
32 39 15
32 40 21
32 47 10
32 53 6
32 61 19
32 69 12
32 77 2
32 77 36
32 81 30
32 85 1
32 88 30
32 89 50
33 40 14
33 45 22
33 58 19
33 60 22
33 64 32
33 64 48
33 74 3
33 80 38
33 86 33
33 86 38
33 96 16
34 36 39
34 51 33
34 55 32
34 64 11
34 70 9
34 75 21
34 81 50
34 83 40
34 90 27
35 44 42
35 48 49
35 50 1
35 50 13
35 71 1
35 76 45
35 81 50
36 38 14
36 56 45
36 57 46
36 59 44
36 60 31
36 63 43
36 89 30
37 45 24
37 60 3
37 73 45
37 83 28
37 89 9
37 91 33
38 44 41
38 58 21
38 64 20
38 72 6
38 81 28
38 83 27
38 88 2
38 88 45
38 89 41
38 90 40
38 92 38
38 96 25
38 98 44
39 44 15
39 45 7
39 51 43
39 56 3
39 98 16
40 42 35
40 54 43
40 80 46
40 95 31
41 43 5
41 43 49
41 59 32
41 71 40
41 83 30
41 91 25
41 95 27
42 52 21
42 52 43
42 52 45
42 68 2
42 69 30
42 70 23
42 79 6
42 79 21
